Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband,public_recycling_points,litter
S01010277,Anderston,Glasgow City,623,420,839,13,3,2,1,887,796,731,777,6327,1911,599,25%,154,19%,79,205,93,124,121,28%,7%,118,70%,4.82,181,4%,5%,21,339,135,21,22%,3%,3.668143443,1.727229508,3.507532787,1.304954338,2.015790984,3.005168539,5.465868852,8.435811475,6.718467213,0%,0,21
S01010278,Anderston,Glasgow City,612,429,1212,18,4,2,1,672,1407,1263,1783,5570,3706,159,27%,165,15%,65,160,177,103,133,24%,7%,123,83%,5,155,4%,4%,11,181,208,38,32%,6%,2.665307692,2.309084615,3.159715385,2.238316062,2.719869231,3.532788104,5.991038462,7.673430769,7.576369231,0%,2,4
S01010279,Anderston,Glasgow City,672,550,1506,22,5,3,2,1224,1459,987,3454,6965,1649,79,22%,145,15%,82,190,246,346,201,18%,0%,108,85%,5.6,118,0%,4%,25,374,233,29,39%,5%,3.326252066,1.023483471,2.00122314,1.8045,1.457367769,1.688076923,2.471752066,4.34464876,3.339690083,0%,1,2
S01010280,Anderston,Glasgow City,992,863,4437,64,13,7,4,3963,4492,4468,4281,6425,1642,191,8%,78,5%,45,70,46,10,122,15%,4%,81,78%,*,49,4%,2%,37,375,216,66,28%,8%,2.479556194,0.953422733,1.483413155,2.253690476,2.293920817,2.330393258,2.441969987,4.184163474,6.436826309,4%,0,11
S01010281,Anderston,Glasgow City,971,840,5274,76,16,8,4,4501,4864,6321,5719,6730,2427,51,6%,61,4%,37,60,32,41,58,9%,0%,44,*,*,44,0%,0%,27,279,272,92,35%,12%,2.156896662,1.381033376,1.732958922,2.494171779,2.69436457,2.749268293,4.065333761,4.57843389,7.378838254,0%,0,6
S01010282,Finnieston and Kelvinhaugh,Glasgow City,1006,852,1390,20,4,2,1,1120.5,1413,1112,2339,4546,3123,138,22%,226,15%,129,175,310,167,170,21%,3%,107,79%,5.29,110,2%,4%,22,220,323,54,33%,6%,3.986360143,2.190791496,2.198406762,4.301077844,3.011393443,4.724266055,4.086757172,5.244203381,6.820699283,0%,1,12
S01010283,Finnieston and Kelvinhaugh,Glasgow City,727,621,4375,63,13,7,4,4537,6053,4634,2767,5658,193,1007,6%,45,3%,17,70,37,132,38,14%,7%,91,82%,5.57,114,4%,4%,75,1037,91,24,17%,4%,3.908636364,1.651335807,2.648738404,2.820820896,1.942101113,2.881916667,5.792931354,7.997690167,6.623571429,1%,2,5
S01010284,Finnieston and Kelvinhaugh,Glasgow City,2429,2342,5981,86,18,9,5,5904,6364,6070,4724,4299,3240,346,3%,76,2%,51,45,83,24,180,10%,10%,50,71%,*,51,0%,16%,51,211,248,56,25%,6%,3.212053508,2.512106662,2.467391921,4.346075949,2.772877392,4.535083333,6.890892984,8.005924876,9.65030652,0%,2,5
S01010285,Finnieston and Kelvinhaugh,Glasgow City,799,669,2940,43,9,5,3,2560,3108,2955,3259,6966,1341,176,14%,108,9%,59,115,139,68,63,20%,4%,95,87%,5.4,83,4%,4%,34,428,292,18,35%,2%,3.747863962,0.915277446,1.741414081,2.11514218,1.196524463,2.461666667,2.109105012,3.724358592,2.289856802,0%,0,1
S01010286,Finnieston and Kelvinhaugh,Glasgow City,2420,2308,6347,91,19,10,5,6357,6828,6895,3066,5488,5368,846,2%,54,1%,29,25,48,18,60,8%,4%,40,80%,5.22,59,16%,12%,21,87,159,8,22%,1%,4.828413115,1.720108197,1.679752459,3.512375691,1.975178689,3.757027027,4.470957377,4.922390164,5.609495082,10%,1,2
S01010287,Finnieston and Kelvinhaugh,Glasgow City,946,831,5783,83,17,9,5,5444,5854,5820,6034,6908,1201,209,4%,38,3%,24,45,65,11,76,13%,3%,66,*,6,50,8%,8%,43,457,280,27,32%,3%,4.387960227,1.05484375,1.162417614,3.038494624,1.567252841,3.195294118,2.642636364,3.393789773,4.384761364,0%,1,1
